"","setup","n","p","sigma","S","T","X","U","R","RS","oracle"
"1","1","500","6","0.5","0.06756078","0.15758285","0.10383367","0.06176385","0.05508428","0.04940806","0.04497576"
"2","1","500","6","1","0.15645572","0.25307751","0.16781207","0.44702548","0.09662550","0.07396428","0.07609466"
"3","1","500","6","2","0.27390297","0.36449860","0.27090649","4.03188107","0.20806008","0.11592723","0.19831070"
"4","1","500","6","4","0.53276214","0.64127551","0.46656981","10.12257402","0.55865397","0.29261139","0.66924763"
"5","1","500","12","0.5","0.10997575","0.16579332","0.10633260","0.07587724","0.06676869","0.06382446","0.04719249"
"6","1","500","12","1","0.19546849","0.26724092","0.18597704","0.45287480","0.11827396","0.09236252","0.07969690"
"7","1","500","12","2","0.30226557","0.34287410","0.29121987","3.11047721","0.21489340","0.13146498","0.18273562"
"8","1","500","12","4","0.53520685","0.62155677","0.41247405","5.88593147","0.65914203","0.29192100","0.71580246"
"9","1","1000","6","0.5","0.04360920","0.10225033","0.06842667","0.05012183","0.03634860","0.03369792","0.03288511"
"10","1","1000","6","1","0.10065527","0.18940335","0.12081405","0.10381434","0.06476055","0.05834640","0.05672315"
"11","1","1000","6","2","0.20210044","0.30869372","0.22437055","1.54025635","0.12375149","0.08481427","0.10501348"
"12","1","1000","6","4","0.35158686","0.44211460","0.35692385","6.08848980","0.27221842","0.16272370","0.33029375"
"13","1","1000","12","0.5","0.06280301","0.12486739","0.08075632","0.05185645","0.04028072","0.04075692","0.03674886"
"14","1","1000","12","1","0.14362594","0.19844495","0.13273433","0.39112134","0.07209474","0.06578628","0.05788841"
"15","1","1000","12","2","0.23318510","0.30458428","0.22882746","2.28396394","0.12716057","0.08547822","0.11739235"
"16","1","1000","12","4","0.34868064","0.44333260","0.36175067","6.77669268","0.32646176","0.18374537","0.33320819"
"17","2","500","6","0.5","0.48008141","0.51941369","0.46675869","0.65984124","0.36910614","0.42558651","0.35869272"
"18","2","500","6","1","0.58874206","0.68844540","0.56191339","0.73116372","0.49158732","0.50715736","0.48726641"
"19","2","500","6","2","0.76519452","0.89928046","0.69717815","1.35378156","0.63842148","0.55048655","0.61146508"
"20","2","500","6","4","1.01972666","1.16162498","0.93518626","3.29460524","0.97973244","0.71869356","1.03866031"
"21","2","500","12","0.5","0.49204615","0.55345291","0.47416438","0.68679442","0.39243323","0.47661285","0.37927568"
"22","2","500","12","1","0.59428435","0.73716137","0.55872026","0.85149106","0.51609764","0.51647738","0.51779107"
"23","2","500","12","2","0.74413829","0.89232333","0.70453488","1.39164991","0.64318762","0.55212069","0.62811838"
"24","2","500","12","4","1.11379648","1.14487585","0.97301260","2.36566661","0.94601037","0.70892376","0.97350011"
"25","2","1000","6","0.5","0.42100118","0.44940789","0.42057203","0.82076159","0.30230685","0.32878471","0.29773742"
"26","2","1000","6","1","0.49038153","0.54788153","0.47718427","0.61016295","0.39431502","0.46305490","0.39279240"
"27","2","1000","6","2","0.61798488","0.78942724","0.60793036","0.89852053","0.54215285","0.52298596","0.55263777"
"28","2","1000","6","4","0.85376203","1.00934021","0.81355265","2.39955454","0.73002382","0.59387752","0.70491435"
"29","2","1000","12","0.5","0.43417884","0.47537640","0.41846136","0.79072798","0.31943968","0.38062350","0.31237389"
"30","2","1000","12","1","0.50980115","0.60532031","0.49307604","0.67961722","0.42499205","0.49525682","0.42379751"
"31","2","1000","12","2","0.65176363","0.80915845","0.61154305","0.98899864","0.56200294","0.52708684","0.55154326"
"32","2","1000","12","4","0.88144430","0.96120238","0.79553501","2.41862871","0.70679871","0.60274695","0.71921060"
"33","3","500","6","0.5","0.17016818","0.21442636","0.16776840","0.30341196","0.18400914","0.19677605","0.11002612"
"34","3","500","6","1","0.26245381","0.40346769","0.27473834","0.59172185","0.27567754","0.33640374","0.22005690"
"35","3","500","6","2","0.56387179","0.76745871","0.54499067","1.28105506","0.53865006","0.76045556","0.50977362"
"36","3","500","6","4","1.30068437","1.52032948","1.18153125","1.43733069","1.25701279","1.32230534","1.19959175"
"37","3","500","12","0.5","0.18381143","0.27937841","0.18872452","0.34762108","0.19823164","0.22455062","0.12671646"
"38","3","500","12","1","0.29289553","0.43435142","0.28706941","0.63542211","0.30863240","0.42542937","0.23164819"
"39","3","500","12","2","0.62760214","0.78375430","0.57200700","1.31094292","0.61171338","0.96134840","0.57135903"
"40","3","500","12","4","1.34625098","1.50784092","1.20240937","1.55212074","1.36728995","1.37960434","1.26240151"
"41","3","1000","6","0.5","0.09944938","0.10110552","0.09260881","0.18069525","0.10758242","0.11809407","0.05361324"
"42","3","1000","6","1","0.15753475","0.22162311","0.17421879","0.35405858","0.15970565","0.18517396","0.13529635"
"43","3","1000","6","2","0.31930511","0.50330086","0.34092959","1.05471598","0.32302648","0.41307072","0.29876937"
"44","3","1000","6","4","0.81082278","1.00824112","0.74806290","1.34004995","0.78982870","1.01608079","0.79463707"
"45","3","1000","12","0.5","0.11297409","0.15282485","0.11628778","0.20667587","0.11801256","0.13615809","0.08050121"
"46","3","1000","12","1","0.17462071","0.27048036","0.18117402","0.39039518","0.17399133","0.22395476","0.14460608"
"47","3","1000","12","2","0.37269598","0.50738881","0.35136955","1.12935481","0.37289717","0.54179037","0.33083956"
"48","3","1000","12","4","0.91560491","1.03228995","0.77522788","1.34875076","0.89667353","1.20073789","0.84374421"
"49","4","500","6","0.5","0.37263256","0.88558239","0.63360295","0.34834903","0.03607999","0.00748707","0.00684630"
"50","4","500","6","1","0.33801913","1.09253954","0.65735651","0.26393627","0.05449829","0.01880070","0.02707329"
"51","4","500","6","2","0.37523607","1.53721607","0.70944147","0.57856282","0.12917273","0.05502264","0.10505965"
"52","4","500","6","4","0.66637521","2.79751241","1.18329833","2.17369070","0.46734957","0.18076929","0.39377737"
"53","4","500","12","0.5","0.32382989","0.94024077","0.51368643","0.45953201","0.03691794","0.01177489","0.00710705"
"54","4","500","12","1","0.33179327","1.06992121","0.49246350","0.54793096","0.05564713","0.02613486","0.02735684"
"55","4","500","12","2","0.34438184","1.54314908","0.59486741","0.81303201","0.12922707","0.06909299","0.11142444"
"56","4","500","12","4","0.76915100","2.83328616","1.14771230","2.53885590","0.46454065","0.23278996","0.40147755"
"57","4","1000","6","0.5","0.38225776","0.65175969","0.54552358","0.97781622","0.01435598","0.00348780","0.00396581"
"58","4","1000","6","1","0.34494057","0.83661838","0.58467572","0.34241089","0.02420134","0.00946739","0.01309045"
"59","4","1000","6","2","0.33216879","1.14460880","0.58865575","0.27112709","0.06683632","0.02823780","0.04613932"
"60","4","1000","6","4","0.42421490","1.94208099","0.79541512","1.17889499","0.24142713","0.08723196","0.19805737"
"61","4","1000","12","0.5","0.32784518","0.74708088","0.50987828","0.78015852","0.01670932","0.00425549","0.00280535"
"62","4","1000","12","1","0.31074383","0.87320906","0.46241476","0.40764900","0.02792583","0.01011764","0.01392510"
"63","4","1000","12","2","0.29378548","1.14906532","0.49850957","0.49000970","0.07023227","0.03004973","0.05181055"
"64","4","1000","12","4","0.44901636","1.98072748","0.71660227","1.58237472","0.20783289","0.10301367","0.22054309"
"65","5","500","6","0.5","0.93532896","3.48086471","1.14989169","0.65365206","0.78934573","0.62943866","0.13240359"
"66","5","500","6","1","0.89416868","3.46272372","1.17518013","0.65632347","0.84591588","0.64082018","0.26130001"
"67","5","500","6","2","1.04670653","3.74748597","1.31290862","0.79877717","0.97378112","0.69280257","0.57801414"
"68","5","500","6","4","1.49842954","4.52812117","1.79096384","1.20424252","1.29991482","0.85893324","1.07268849"
