"","setup","n","p","sigma","R","Rnc","RS","RSnc","Roracle","Rncoracle","RSoracle","RSncoracle"
"1","1","500","6","0.1","0.02","0.37","0.03","0.30","0.01","0.39","0.01","0.41"
"2","1","500","6","1","0.09","0.32","0.07","0.29","0.08","0.31","0.06","0.29"
"3","1","500","6","5","1.01","0.72","0.40","0.31","0.88","0.67","0.37","0.30"
"4","1","500","6","10","3.25","3.06","1.23","0.40","3.79","1.67","1.52","0.36"
"5","1","500","12","0.1","0.03","0.27","0.03","0.27","0.01","0.38","0.01","0.36"
"6","1","500","12","1","0.11","0.31","0.09","0.29","0.07","0.32","0.06","0.29"
"7","1","500","12","5","0.87","0.78","0.41","0.30","0.92","0.91","0.36","0.29"
"8","1","500","12","10","2.94","1.84","1.42","0.31","4.17","2.74","1.38","0.30"
"9","1","1000","6","0.1","0.02","0.38","0.02","0.32","0.01","0.37","0.01","0.35"
"10","1","1000","6","1","0.06","0.30","0.05","0.29","0.06","0.30","0.05","0.29"
"11","1","1000","6","5","0.44","0.51","0.23","0.29","0.47","0.48","0.24","0.30"
"12","1","1000","6","10","1.27","1.37","0.62","0.33","1.48","1.27","0.90","0.35"
"13","1","1000","12","0.1","0.02","0.28","0.02","0.27","0.01","0.35","0.01","0.33"
"14","1","1000","12","1","0.08","0.30","0.07","0.29","0.06","0.30","0.05","0.29"
"15","1","1000","12","5","0.48","0.48","0.21","0.29","0.51","0.57","0.27","0.30"
"16","1","1000","12","10","1.54","1.36","0.59","0.29","1.65","1.34","0.84","0.31"
"17","2","500","6","0.1","0.28","0.28","0.30","0.30","0.26","0.26","0.28","0.27"
"18","2","500","6","1","0.47","0.45","0.51","0.49","0.48","0.46","0.49","0.49"
"19","2","500","6","5","1.08","0.86","0.80","0.51","1.13","1.00","0.86","0.53"
"20","2","500","6","10","2.89","1.89","1.69","0.54","3.40","2.16","1.82","0.54"
"21","2","500","12","0.1","0.29","0.28","0.33","0.33","0.25","0.25","0.28","0.26"
"22","2","500","12","1","0.50","0.49","0.52","0.50","0.49","0.49","0.51","0.50"
"23","2","500","12","5","1.17","0.98","0.83","0.50","1.31","0.93","0.86","0.51"
"24","2","500","12","10","3.45","2.30","1.59","0.53","3.67","2.29","1.89","0.56"
"25","2","1000","6","0.1","0.26","0.25","0.26","0.26","0.24","0.24","0.25","0.25"
"26","2","1000","6","1","0.38","0.38","0.46","0.45","0.38","0.37","0.43","0.40"
"27","2","1000","6","5","0.87","0.65","0.64","0.50","0.80","0.76","0.63","0.52"
"28","2","1000","6","10","1.83","0.98","1.12","0.57","2.14","1.18","1.18","0.55"
"29","2","1000","12","0.1","0.25","0.26","0.27","0.27","0.25","0.24","0.25","0.25"
"30","2","1000","12","1","0.41","0.40","0.50","0.48","0.41","0.41","0.47","0.46"
"31","2","1000","12","5","0.82","0.71","0.66","0.50","0.88","0.73","0.66","0.50"
"32","2","1000","12","10","1.81","0.99","1.17","0.51","2.20","1.09","0.99","0.53"
"33","3","500","6","0.1","0.13","0.78","0.15","0.85","0.00","0.68","0.00","0.75"
"34","3","500","6","1","0.28","0.91","0.34","1.01","0.21","0.87","0.23","0.89"
"35","3","500","6","5","1.52","1.89","1.40","1.91","1.44","1.92","1.46","1.87"
"36","3","500","6","10","3.04","2.91","2.25","1.92","3.28","2.88","2.12","2.14"
"37","3","500","12","0.1","0.17","0.84","0.19","0.91","0.01","0.72","0.01","0.77"
"38","3","500","12","1","0.33","0.98","0.45","1.13","0.23","0.88","0.27","0.94"
"39","3","500","12","5","1.60","2.02","1.47","1.91","1.54","2.15","1.43","1.90"
"40","3","500","12","10","3.04","2.80","2.04","1.97","3.05","2.91","2.18","1.95"
"41","3","1000","6","0.1","0.06","0.72","0.08","0.76","0.00","0.66","0.00","0.68"
"42","3","1000","6","1","0.17","0.82","0.19","0.85","0.13","0.78","0.14","0.79"
"43","3","1000","6","5","1.04","1.61","1.25","1.79","1.03","1.62","1.13","1.75"
"44","3","1000","6","10","2.03","2.33","1.67","1.92","1.95","2.16","1.75","2.00"
"45","3","1000","12","0.1","0.09","0.75","0.11","0.78","0.00","0.68","0.00","0.72"
"46","3","1000","12","1","0.18","0.84","0.25","0.91","0.15","0.80","0.16","0.82"
"47","3","1000","12","5","1.13","1.71","1.33","1.87","1.14","1.67","1.26","1.80"
"48","3","1000","12","10","2.10","2.50","1.67","1.93","2.07","2.32","1.68","1.93"
"49","4","500","6","0.1","0.07","1.16","0.01","1.01","0.00","1.21","0.00","1.22"
"50","4","500","6","1","0.06","1.05","0.02","1.00","0.03","1.05","0.01","1.00"
"51","4","500","6","5","0.71","1.44","0.38","1.00","0.52","1.40","0.34","1.02"
"52","4","500","6","10","2.79","2.24","1.27","1.10","3.15","2.45","0.99","1.28"
"53","4","500","12","0.1","0.07","1.04","0.02","1.01","0.00","1.03","0.00","1.13"
"54","4","500","12","1","0.09","1.06","0.04","1.00","0.03","1.01","0.01","1.00"
"55","4","500","12","5","1.06","1.44","0.38","1.00","0.69","1.40","0.33","1.03"
"56","4","500","12","10","2.61","2.57","1.40","1.02","2.71","2.61","1.20","1.02"
"57","4","1000","6","0.1","0.02","1.07","0.00","1.02","0.00","1.12","0.00","1.10"
"58","4","1000","6","1","0.03","1.06","0.01","1.00","0.02","1.05","0.01","1.00"
"59","4","1000","6","5","0.32","1.15","0.19","1.00","0.35","1.22","0.14","1.01"
"60","4","1000","6","10","1.39","1.78","0.60","1.01","1.08","1.83","0.55","1.05"
"61","4","1000","12","0.1","0.03","1.03","0.01","1.01","0.00","1.04","0.00","1.04"
"62","4","1000","12","1","0.03","1.04","0.01","1.00","0.01","1.01","0.01","1.00"
"63","4","1000","12","5","0.37","1.19","0.16","1.00","0.35","1.20","0.17","1.00"
"64","4","1000","12","10","1.36","1.71","0.62","1.00","1.15","1.69","0.57","1.02"
"65","5","500","6","0.1","0.89","1.57","0.64","1.37","0.05","0.97","0.06","1.43"
"66","5","500","6","1","0.78","1.58","0.64","1.37","0.26","1.10","0.33","1.17"
"67","5","500","6","5","1.61","1.95","1.04","1.39","1.38","1.74","0.91","1.48"
"68","5","500","6","10","4.14","3.65","1.77","1.42","3.92","3.27","1.94","1.57"
"69","5","500","12","0.1","0.76","1.46","0.62","1.37","0.05","0.98","0.07","1.04"
"70","5","500","12","1","0.75","1.56","0.64","1.37","0.29","1.14","0.41","1.23"
"71","5","500","12","5","1.71","1.89","0.96","1.39","1.32","1.97","0.87","1.38"
"72","5","500","12","10","3.94","3.85","1.88","1.40","3.84","3.33","1.65","1.38"
"73","5","1000","6","0.1","0.52","1.30","0.53","1.31","0.04","0.92","0.04","0.94"
"74","5","1000","6","1","0.63","1.34","0.54","1.32","0.16","1.01","0.18","1.02"
"75","5","1000","6","5","0.99","1.62","0.82","1.40","0.87","1.54","0.70","1.39"
"76","5","1000","6","10","2.05","2.65","1.19","1.38","1.98","2.32","1.39","1.44"
"77","5","1000","12","0.1","0.54","1.28","0.54","1.34","0.04","0.93","0.05","0.99"
"78","5","1000","12","1","0.57","1.36","0.58","1.33","0.17","1.02","0.21","1.05"
"79","5","1000","12","5","1.02","1.60","0.77","1.38","0.97","1.57","0.76","1.38"
"80","5","1000","12","10","2.24","2.37","1.17","1.39","2.26","2.48","1.19","1.38"
"81","6","500","6","0.1","0.07","0.07","0.07","0.07","0.01","0.01","0.01","0.01"
"82","6","500","6","1","0.19","0.19","0.29","0.28","0.21","0.19","0.25","0.25"
"83","6","500","6","5","1.07","0.77","0.77","0.52","1.11","0.84","0.78","0.53"
"84","6","500","6","10","2.63","1.36","1.70","0.51","2.95","1.88","1.52","0.67"
"85","6","500","12","0.1","0.07","0.07","0.07","0.07","0.02","0.02","0.03","0.03"
"86","6","500","12","1","0.21","0.20","0.37","0.36","0.24","0.24","0.31","0.33"
"87","6","500","12","5","1.08","0.78","0.73","0.50","1.06","0.97","0.76","0.51"
"88","6","500","12","10","2.76","2.13","1.25","0.50","2.90","1.81","1.45","0.51"
"89","6","1000","6","0.1","0.04","0.04","0.04","0.05","0.00","0.00","0.01","0.01"
"90","6","1000","6","1","0.12","0.11","0.17","0.16","0.13","0.12","0.14","0.14"
"91","6","1000","6","5","0.75","0.57","0.60","0.50","0.76","0.65","0.67","0.50"
"92","6","1000","6","10","1.76","1.12","0.93","0.52","1.49","1.17","1.18","0.54"
"93","6","1000","12","0.1","0.05","0.05","0.05","0.05","0.01","0.01","0.01","0.01"
"94","6","1000","12","1","0.13","0.13","0.22","0.21","0.14","0.14","0.18","0.17"
"95","6","1000","12","5","0.72","0.60","0.63","0.50","0.71","0.65","0.61","0.50"
"96","6","1000","12","10","1.47","1.15","0.99","0.55","1.54","1.28","0.95","0.54"
"97","7","500","6","0.1","0.40","0.42","0.43","0.45","0.32","0.37","0.33","0.38"
"98","7","500","6","1","0.63","0.67","0.75","0.73","0.64","0.63","0.68","0.65"
"99","7","500","6","5","2.34","1.96","1.99","1.75","2.24","1.96","1.99","1.74"
"100","7","500","6","10","3.72","3.10","2.77","1.80","4.17","3.38","2.70","1.83"
"101","7","500","12","0.1","0.40","0.43","0.44","0.45","0.32","0.35","0.34","0.36"
"102","7","500","12","1","0.68","0.70","0.90","0.88","0.69","0.68","0.79","0.76"
"103","7","500","12","5","2.31","2.04","2.02","1.72","2.38","2.13","2.06","1.71"
"104","7","500","12","10","3.92","3.03","2.65","1.75","4.22","3.36","2.79","1.77"
"105","7","1000","6","0.1","0.35","0.37","0.36","0.39","0.32","0.34","0.32","0.35"
"106","7","1000","6","1","0.50","0.51","0.54","0.54","0.49","0.50","0.51","0.51"
"107","7","1000","6","5","1.77","1.64","1.83","1.68","1.89","1.70","1.84","1.69"
"108","7","1000","6","10","3.04","2.44","2.23","1.75","3.22","2.46","2.42","1.77"
"109","7","1000","12","0.1","0.36","0.38","0.37","0.39","0.31","0.34","0.32","0.34"
"110","7","1000","12","1","0.54","0.54","0.59","0.61","0.53","0.53","0.56","0.58"
"111","7","1000","12","5","1.93","1.74","1.86","1.71","1.94","1.77","1.87","1.71"
"112","7","1000","12","10","2.98","2.41","2.28","1.72","2.73","2.71","2.33","1.74"
"113","8","500","6","0.1","1.49","1.08","1.06","0.68","0.01","0.42","0.01","0.41"
"114","8","500","6","1","1.41","1.04","1.02","0.60","0.07","0.33","0.06","0.29"
"115","8","500","6","5","2.56","1.18","1.51","0.37","1.14","0.72","0.42","0.39"
"116","8","500","6","10","4.58","2.29","2.87","0.34","3.89","2.71","1.71","0.37"
"117","8","500","12","0.1","1.68","0.90","1.28","0.63","0.01","0.38","0.01","0.36"
"118","8","500","12","1","1.71","0.89","1.26","0.55","0.08","0.31","0.06","0.29"
"119","8","500","12","5","3.34","1.04","2.56","0.35","0.98","0.81","0.48","0.31"
"120","8","500","12","10","6.80","2.42","4.90","0.29","4.13","2.13","1.72","0.42"
"121","8","1000","6","0.1","1.42","1.29","1.13","0.81","0.01","0.38","0.01","0.36"
