"","setup","n","p","sigma","S","T","X","U","CB","R","oracle"
"1","A","500","6","0.5","0.05624083","0.09785496","0.03660893","0.04834997","0.04419040","0.03440029","0.03541492"
"2","A","500","6","1","0.12121928","0.19739775","0.07880470","0.11268553","0.08880856","0.06085083","0.05819096"
"3","A","500","6","2","0.25880064","0.44263297","0.16206765","0.20227358","0.21192639","0.12613942","0.10849301"
"4","A","500","6","4","0.52945858","0.90490554","0.31766446","1.03516210","0.32526032","0.35220144","0.32233306"
"5","A","500","12","0.5","0.06596349","0.11066671","0.03800529","0.05489073","0.04875692","0.03817080","0.03691205"
"6","A","500","12","1","0.12785376","0.22828242","0.07973329","0.11868537","0.09642964","0.06198213","0.05363087"
"7","A","500","12","2","0.26583115","0.48621665","0.17359677","0.38166907","0.20964038","0.12925561","0.11432861"
"8","A","500","12","4","0.47511808","0.87693242","0.34272992","1.20679217","0.33965079","0.32940886","0.32206987"
"9","A","1000","6","0.5","0.04672472","0.07206680","0.02346073","0.04781554","0.02725799","0.02343896","0.02632042"
"10","A","1000","6","1","0.09470543","0.14645008","0.05333056","0.07037171","0.06097258","0.04609214","0.04378096"
"11","A","1000","6","2","0.20148931","0.35955450","0.11474434","0.19870383","0.16131211","0.09437006","0.07705513"
"12","A","1000","6","4","0.37559188","0.67623653","0.23185557","0.50172031","0.27279782","0.19131199","0.19153813"
"13","A","1000","12","0.5","0.05154486","0.07753184","0.02506481","0.04771728","0.02851392","0.02642515","0.02858664"
"14","A","1000","12","1","0.09393350","0.16258269","0.05489362","0.10041928","0.06154762","0.04917763","0.04581654"
"15","A","1000","12","2","0.20593114","0.36063166","0.11229899","0.21315178","0.15323398","0.08254934","0.07608398"
"16","A","1000","12","4","0.41098838","0.72479142","0.24290988","0.59648308","0.28707131","0.21842587","0.24480677"
"17","B","500","6","0.5","0.18757469","0.27842516","0.13899844","0.20468335","0.27826602","0.19789594","0.13792562"
"18","B","500","6","1","0.32852166","0.47775148","0.26507020","0.40824897","0.37356243","0.32880805","0.28345639"
"19","B","500","6","2","0.66835180","0.88886565","0.56426991","0.84367050","0.66814416","0.68430771","0.62110690"
"20","B","500","6","4","1.39995859","1.75550702","1.09657443","1.50063366","1.33135517","1.20182145","1.18729726"
"21","B","500","12","0.5","0.21584001","0.30299332","0.14795410","0.22061022","0.34961016","0.21452735","0.14516731"
"22","B","500","12","1","0.37221183","0.50120834","0.28944356","0.43110783","0.45660401","0.37014331","0.30859524"
"23","B","500","12","2","0.76876955","0.95262398","0.58328211","0.88974279","0.79445161","0.73713506","0.68121317"
"24","B","500","12","4","1.62586918","1.86705349","1.10362775","1.55716083","1.41254796","1.40606938","1.26610704"
"25","B","1000","6","0.5","0.12687181","0.19120614","0.08187256","0.13104480","0.18182535","0.11490245","0.08725212"
"26","B","1000","6","1","0.21473709","0.33347868","0.17218547","0.24921284","0.24192476","0.22076739","0.18796741"
"27","B","1000","6","2","0.45452887","0.65319963","0.38776377","0.58398900","0.42693026","0.46107185","0.43390515"
"28","B","1000","6","4","1.01170253","1.34023613","0.82405927","1.20489133","0.89435126","1.00591006","0.99615591"
"29","B","1000","12","0.5","0.14217347","0.20593417","0.08936787","0.13470387","0.20206507","0.12919250","0.09141313"
"30","B","1000","12","1","0.24712211","0.33964847","0.18112975","0.26495806","0.28429588","0.23615926","0.20890677"
"31","B","1000","12","2","0.50460615","0.68643622","0.40997065","0.63164550","0.50881267","0.51721186","0.49483359"
"32","B","1000","12","4","1.15821459","1.33169573","0.84338231","1.24261776","1.00562346","1.12026309","1.07870304"
"33","C","500","6","0.5","0.29556277","0.64673920","0.13076267","0.97253750","0.64743198","0.08014021","0.02654148"
"34","C","500","6","1","0.46251975","0.96677075","0.22915234","0.72800174","0.70305041","0.15061418","0.08462993"
"35","C","500","6","2","0.90439557","1.72697487","0.43982693","0.86291800","0.82458522","0.26014763","0.25845284"
"36","C","500","6","4","1.64759387","2.90919858","0.90666286","1.74170048","0.95950646","0.56863428","0.43061326"
"37","C","500","12","0.5","0.32078598","0.68131856","0.15495663","0.89859653","0.68774666","0.09366140","0.02794373"
"38","C","500","12","1","0.53372521","1.01936948","0.24548232","0.92526411","0.71832491","0.16822874","0.09718962"
"39","C","500","12","2","0.97853600","1.83379353","0.47187628","0.95046496","0.84305143","0.28903387","0.23165819"
"40","C","500","12","4","1.72515638","3.35634815","0.90858826","2.02267816","0.97115569","0.52687654","0.56198648"
"41","C","1000","6","0.5","0.19711974","0.43208381","0.07646223","0.90157421","0.34803301","0.04733574","0.02284047"
"42","C","1000","6","1","0.31222703","0.67306968","0.14236724","0.82201403","0.41206947","0.10634414","0.07074164"
"43","C","1000","6","2","0.65179268","1.20028923","0.28681883","0.64845001","0.54232162","0.20261888","0.18529357"
"44","C","1000","6","4","1.28393309","2.33388894","0.63400871","1.09259348","0.78919642","0.41617712","0.38087954"
"45","C","1000","12","0.5","0.20838058","0.46015845","0.08752508","1.01828320","0.37720842","0.06208829","0.02547997"
"46","C","1000","12","1","0.36313548","0.70261764","0.15400687","0.86333532","0.42073740","0.11951164","0.07357944"
"47","C","1000","12","2","0.74079064","1.27504018","0.30872793","0.83835259","0.61127458","0.23355615","0.20396013"
"48","C","1000","12","4","1.38492207","2.44704101","0.64958642","1.31029074","0.82091294","0.39970028","0.37022741"
"49","D","500","6","0.5","0.36474703","0.30293944","0.36670363","0.56940462","0.50409891","0.42732757","0.38808179"
"50","D","500","6","1","0.55485152","0.52569834","0.56696481","0.96054456","0.76236386","0.66385732","0.64593926"
"51","D","500","6","2","0.92410093","0.99405735","1.01729589","1.60233182","1.20907017","1.12070474","1.12783926"
"52","D","500","6","4","1.48174382","1.86045500","1.60162926","2.35866414","1.59844195","1.80683632","1.70727690"
"53","D","500","12","0.5","0.43954494","0.33707606","0.43420846","0.63336927","0.55061536","0.48074631","0.43482968"
"54","D","500","12","1","0.64772700","0.57379702","0.64196770","1.03707672","0.83602729","0.74252728","0.74073524"
"55","D","500","12","2","1.04859836","1.06060615","1.09617572","1.66358147","1.35158276","1.24149034","1.26383967"
"56","D","500","12","4","1.66005564","1.88427681","1.67223242","2.28881705","1.68259219","1.88005465","1.91153523"
"57","D","1000","6","0.5","0.24169040","0.19695091","0.24876659","0.42212988","0.40974479","0.29351092","0.26195727"
"58","D","1000","6","1","0.38782339","0.35800347","0.39812189","0.72529894","0.56241407","0.46229732","0.45364184"
"59","D","1000","6","2","0.68256190","0.70748992","0.73293590","1.32899014","0.94304825","0.81136955","0.82744974"
"60","D","1000","6","4","1.23061679","1.44902410","1.34471562","1.98222132","1.41321028","1.44227649","1.50617097"
"61","D","1000","12","0.5","0.29164736","0.21696771","0.28418791","0.47168239","0.41127052","0.31773977","0.29545856"
"62","D","1000","12","1","0.45192495","0.38223450","0.45234336","0.78444685","0.61941884","0.51913783","0.50601659"
"63","D","1000","12","2","0.79642932","0.76999104","0.83312222","1.46297451","1.07837286","0.93536261","0.93046418"
"64","D","1000","12","4","1.37766765","1.53034867","1.43301661","1.99421023","1.53462932","1.65000544","1.62354593"
