"","setup","n","d","sigma","S","T","X","U","R","oracle"
"1","A","500","6","0.5","0.06164218","0.08074239","0.04998056","0.11458431","0.02943212","0.02867125"
"2","A","500","6","1","0.09190156","0.14875565","0.09535196","0.57971460","0.07516894","0.07360802"
"3","A","500","6","2","0.13871659","0.31541729","0.18814137","2.20738736","0.22100568","0.22195844"
"4","A","500","6","4","0.31233712","0.65495201","0.39427006","8.09943780","0.78164780","0.75822150"
"5","A","500","12","0.5","0.06773828","0.08658486","0.06426495","0.09955843","0.05153182","0.03748369"
"6","A","500","12","1","0.09934012","0.16282087","0.09976420","0.32926355","0.09299296","0.07347910"
"7","A","500","12","2","0.16395896","0.32220881","0.21694933","1.41513440","0.24951597","0.17753955"
"8","A","500","12","4","0.29994923","0.61490859","0.40699138","5.09285571","0.61301322","0.68256291"
"9","A","1000","6","0.5","0.04765495","0.05793099","0.03356930","0.06607917","0.01543869","0.01665198"
"10","A","1000","6","1","0.07507835","0.10269593","0.07029995","0.38315523","0.04461966","0.04553259"
"11","A","1000","6","2","0.11067747","0.20205637","0.12802094","1.79653467","0.11218993","0.11343520"
"12","A","1000","6","4","0.18439905","0.45326390","0.28129891","6.11576803","0.34524356","0.37519571"
"13","A","1000","12","0.5","0.05770363","0.07153800","0.04928917","0.09284222","0.03049522","0.02369812"
"14","A","1000","12","1","0.07728873","0.10398209","0.07230870","0.22367825","0.06605297","0.05349701"
"15","A","1000","12","2","0.12624017","0.23475031","0.13015498","0.83943388","0.13651650","0.11155470"
"16","A","1000","12","4","0.20380998","0.41255059","0.29508293","3.30134866","0.52700546","0.35846755"
"17","B","500","6","0.5","0.08771628","0.09972444","0.05488063","0.05272686","0.05282591","0.03717574"
"18","B","500","6","1","0.21234728","0.23466018","0.13395517","0.10199212","0.10533388","0.08819659"
"19","B","500","6","2","0.46421266","0.56771007","0.35668189","0.35556820","0.33544419","0.30377753"
"20","B","500","6","4","0.88995947","1.33017342","0.93945226","1.20968061","1.15480999","1.12249909"
"21","B","500","12","0.5","0.20969261","0.21955982","0.10341136","0.08814320","0.08794934","0.05112020"
"22","B","500","12","1","0.33917398","0.37156579","0.20618825","0.18270309","0.18318870","0.13795634"
"23","B","500","12","2","0.57744843","0.65713280","0.55198959","0.46884577","0.48319841","0.45093610"
"24","B","500","12","4","1.21422224","1.38266634","1.11346747","1.30187387","1.24314168","1.23632516"
"25","B","1000","6","0.5","0.05063594","0.06065996","0.03595944","0.02930008","0.03044073","0.02356285"
"26","B","1000","6","1","0.11780652","0.13460166","0.07657549","0.06007058","0.06030845","0.05402519"
"27","B","1000","6","2","0.29788097","0.35014945","0.20668406","0.16506657","0.17512447","0.15634208"
"28","B","1000","6","4","0.65937731","0.83855003","0.54209136","0.63420394","0.58623891","0.55016858"
"29","B","1000","12","0.5","0.11244722","0.12532544","0.05842929","0.04725924","0.04810943","0.03554443"
"30","B","1000","12","1","0.24022370","0.25641845","0.12861050","0.09128403","0.09448024","0.08087088"
"31","B","1000","12","2","0.40803557","0.44007575","0.29805497","0.25619551","0.27237954","0.23382356"
"32","B","1000","12","4","0.83953118","0.93611615","0.70859832","0.78307840","0.82601065","0.79168735"
"33","C","500","6","0.5","0.10650325","0.10757994","0.04064518","0.39058904","0.01529073","0.00885147"
"34","C","500","6","1","0.32497965","0.34278272","0.13343028","0.60799879","0.04336961","0.03469022"
"35","C","500","6","2","0.83278561","0.95490754","0.43500164","2.42829638","0.14031513","0.14549443"
"36","C","500","6","4","1.62001503","2.22947887","1.12988255","12.52908932","0.70765083","0.55182766"
"37","C","500","12","0.5","0.31801862","0.32448978","0.12032980","1.01745032","0.02137400","0.00730347"
"38","C","500","12","1","0.69407113","0.72472311","0.32110053","2.81706522","0.04470187","0.03204880"
"39","C","500","12","2","1.17779984","1.30946879","0.66781244","6.45295954","0.34485576","0.14548280"
"40","C","500","12","4","2.10126041","2.71094646","1.12701888","14.87144149","1.51267902","0.56539130"
"41","C","1000","6","0.5","0.05249480","0.05253698","0.02011193","0.32831525","0.01126983","0.00526839"
"42","C","1000","6","1","0.16542832","0.16929304","0.06496039","0.39676207","0.02185417","0.02175736"
"43","C","1000","6","2","0.48485966","0.54994045","0.24180165","1.26002044","0.25721361","0.08180348"
"44","C","1000","6","4","1.04314320","1.42040401","0.69340638","5.36603857","0.25311745","0.33087798"
"45","C","1000","12","0.5","0.15364909","0.15324807","0.04982561","0.32604419","0.18043503","0.00359568"
"46","C","1000","12","1","0.40506196","0.43088039","0.16659545","1.09999122","0.02342127","0.01592645"
"47","C","1000","12","2","0.85498382","0.93460991","0.44341792","5.15985919","0.07514924","0.06197992"
"48","C","1000","12","4","1.47465650","1.91273578","0.89718804","11.93157457","0.24316491","0.33254493"
"49","D","500","6","0.5","0.14770346","0.15029990","0.14748102","0.52789265","0.18208989","0.15329285"
"50","D","500","6","1","0.32099040","0.33574146","0.32616124","0.96228487","0.38272213","0.35234720"
"51","D","500","6","2","0.65417269","0.70750220","0.71077613","2.08068809","0.76962143","0.78655126"
"52","D","500","6","4","1.26816402","1.75411415","1.44608109","5.26393216","1.80904903","1.68362870"
"53","D","500","12","0.5","0.31413859","0.29669049","0.30903853","0.62695161","0.36563574","0.30332569"
"54","D","500","12","1","0.52719949","0.52899893","0.55301833","0.91763662","0.58169016","0.55446878"
"55","D","500","12","2","0.80439641","0.94847189","0.91635373","1.68490772","0.96156538","0.99399815"
"56","D","500","12","4","1.40932025","1.77155024","1.69348063","4.83180255","1.89971715","1.89189431"
"57","D","1000","6","0.5","0.09947357","0.09967629","0.10325247","0.38767575","0.11501294","0.10484475"
"58","D","1000","6","1","0.19865564","0.20045295","0.20026803","0.53127253","0.23618878","0.21030552"
"59","D","1000","6","2","0.44085571","0.47611671","0.47201094","1.25160879","0.55386481","0.48290744"
"60","D","1000","6","4","0.87811627","1.01684642","0.97039811","3.32417684","1.09664084","1.15977396"
"61","D","1000","12","0.5","0.19575780","0.18275183","0.18887918","0.43831887","0.22133955","0.19025855"
"62","D","1000","12","1","0.37990960","0.36558246","0.37831435","0.71493964","0.39912115","0.39439368"
"63","D","1000","12","2","0.63751095","0.64658927","0.65356183","1.24830497","0.69379686","0.70645511"
"64","D","1000","12","4","1.05591572","1.26746038","1.20681164","3.08024694","1.33516520","1.41675648"
