"","setup","n","d","sigma","S","T","X","U","R","RS","oracle"
"1","A","500","6","0.5","0.12518743","0.18521895","0.09534416","0.10388503","0.06116130","0.05546845","0.04957094"
"2","A","500","6","1","0.20563288","0.26287711","0.16317506","0.36726695","0.09963202","0.07428967","0.07402830"
"3","A","500","6","2","0.29760597","0.35001856","0.24532091","1.12792877","0.22334619","0.11345316","0.21364858"
"4","A","500","6","4","0.47723855","0.62990779","0.42292192","2.18419062","0.64050774","0.30650167","0.58823949"
"5","A","500","12","0.5","0.14654621","0.20473731","0.11582734","0.15318028","0.07302408","0.06331847","0.05055188"
"6","A","500","12","1","0.21397345","0.26258907","0.18352600","0.44575233","0.11857377","0.08503799","0.08196107"
"7","A","500","12","2","0.29563450","0.34863708","0.26218751","1.15945338","0.22951241","0.13914194","0.21150524"
"8","A","500","12","4","0.46083480","0.64052684","0.40931951","1.97435117","0.59232238","0.27119771","0.67480590"
"9","A","1000","6","0.5","0.08796617","0.13151542","0.06279667","0.06268194","0.04416337","0.04812525","0.03848603"
"10","A","1000","6","1","0.15630466","0.20839580","0.11366634","0.26257686","0.07005188","0.05991851","0.05579704"
"11","A","1000","6","2","0.23109434","0.30018462","0.20538826","0.89986131","0.12233962","0.08531670","0.10411408"
"12","A","1000","6","4","0.34372339","0.42466147","0.29472229","2.25850205","0.33369055","0.16062792","0.29711049"
"13","A","1000","12","0.5","0.10739524","0.14361742","0.07680861","0.10454714","0.05211216","0.05283623","0.04147126"
"14","A","1000","12","1","0.17531717","0.21918055","0.13752637","0.32516431","0.07608584","0.06671010","0.06038427"
"15","A","1000","12","2","0.24187799","0.28276719","0.21659942","0.95796980","0.14497487","0.09672838","0.12026159"
"16","A","1000","12","4","0.33339111","0.41136593","0.29186893","2.04807315","0.33500638","0.17636981","0.29829254"
"17","B","500","6","0.5","0.25824449","0.43095516","0.21994888","0.45002169","0.28279450","0.29596344","0.15733492"
"18","B","500","6","1","0.45511887","0.65724181","0.39078038","0.83426113","0.44863861","0.71692310","0.33673923"
"19","B","500","6","2","0.87591691","1.08468286","0.71880251","1.28092916","0.83610718","1.27398403","0.76248487"
"20","B","500","6","4","1.48638131","1.70997958","1.30329247","1.40726321","1.49363706","1.40826720","1.44548647"
"21","B","500","12","0.5","0.30198091","0.46130288","0.25308592","0.53596079","0.33450379","0.40035810","0.17901786"
"22","B","500","12","1","0.52581213","0.69620329","0.42025049","0.89093272","0.52495034","0.99635910","0.39667665"
"23","B","500","12","2","0.94667739","1.14250213","0.79548974","1.28191502","0.95476208","1.30786683","0.86550968"
"24","B","500","12","4","1.60110174","1.81407646","1.33857499","1.41319358","1.71393432","1.40048643","1.54071918"
"25","B","1000","6","0.5","0.14542179","0.24166869","0.12992726","0.24064364","0.14915618","0.14635765","0.10021874"
"26","B","1000","6","1","0.26626929","0.42060988","0.23011988","0.46036779","0.24615417","0.37120193","0.20137617"
"27","B","1000","6","2","0.54038824","0.72408340","0.44655763","1.11117941","0.51428039","0.92980974","0.47467053"
"28","B","1000","6","4","1.06842046","1.26531094","0.90483218","1.33846909","1.05850935","1.33127145","1.06644840"
"29","B","1000","12","0.5","0.16825839","0.27704753","0.14398566","0.28814134","0.17861540","0.18115575","0.11239241"
"30","B","1000","12","1","0.30850913","0.45316339","0.25700357","0.52987890","0.29742524","0.51753041","0.23365646"
"31","B","1000","12","2","0.60286508","0.77871161","0.48139201","1.17984993","0.59202824","1.16024386","0.54843776"
"32","B","1000","12","4","1.15096966","1.28852670","0.98497045","1.33912717","1.17980505","1.34761115","1.14352197"
"33","C","500","6","0.5","0.18469314","0.79660713","0.17621298","0.43112725","0.05855362","0.01915162","0.00792790"
"34","C","500","6","1","0.33773469","1.17623157","0.29331876","0.71895973","0.09145369","0.03587085","0.03181606"
"35","C","500","6","2","0.70269994","1.88622703","0.56837205","1.52984722","0.20294872","0.09768812","0.13424521"
"36","C","500","6","4","1.72207145","3.26056174","1.39737118","3.99157812","0.73773572","0.26174184","0.46250105"
"37","C","500","12","0.5","0.18258789","0.88916500","0.18886878","0.53095597","0.08598810","0.03269935","0.00736844"
"38","C","500","12","1","0.34048194","1.24292897","0.32323533","0.91732615","0.12642670","0.05775879","0.03108210"
"39","C","500","12","2","0.80434368","2.08393348","0.63449084","1.64324196","0.23338373","0.12283377","0.13302891"
"40","C","500","12","4","1.85469603","3.24353622","1.42909641","4.28148167","0.67394351","0.29569496","0.50375292"
"41","C","1000","6","0.5","0.09265454","0.49957867","0.09881481","0.25031004","0.01602685","0.00590948","0.00420336"
"42","C","1000","6","1","0.18625658","0.75256506","0.16893448","0.31487507","0.03048708","0.01335816","0.01546474"
"43","C","1000","6","2","0.39350637","1.27182606","0.32673643","0.96409271","0.08538754","0.03641213","0.05549608"
"44","C","1000","6","4","0.99886912","2.36014877","0.74064177","2.46090850","0.29434799","0.11602986","0.24887184"
"45","C","1000","12","0.5","0.09567161","0.55614053","0.10126914","0.34276898","0.02779802","0.01079542","0.00389758"
"46","C","1000","12","1","0.18692713","0.82096880","0.17506725","0.50951648","0.04117782","0.02139852","0.01549874"
"47","C","1000","12","2","0.42301616","1.39733647","0.37206408","1.22063411","0.09511965","0.05033933","0.05560414"
"48","C","1000","12","4","1.11413667","2.39108427","0.85320678","3.14847857","0.32630769","0.15411148","0.22578646"
"49","D","500","6","0.5","0.46157934","0.37108639","0.45011273","1.17245038","0.50957638","0.73395057","0.46784132"
"50","D","500","6","1","0.77617739","0.65034484","0.73796054","1.69682401","0.80946715","1.57193486","0.81122060"
"51","D","500","6","2","1.32993530","1.25632598","1.28158988","1.82352673","1.41856810","1.77985488","1.41718862"
"52","D","500","6","4","1.98415293","2.13769546","1.96623294","2.11419153","2.10525841","1.91124271","2.18364525"
"53","D","500","12","0.5","0.58438831","0.43899479","0.55256529","1.22146689","0.62115907","1.10069630","0.56964378"
"54","D","500","12","1","0.93167499","0.75601847","0.89049103","1.69288563","0.96564317","1.75210401","0.95051320"
"55","D","500","12","2","1.42288975","1.39510090","1.44708626","1.85883304","1.58882113","1.80688558","1.61140765"
"56","D","500","12","4","2.03133894","2.28413155","2.05695057","2.07755717","2.24506881","1.91939285","2.34100877"
"57","D","1000","6","0.5","0.27209693","0.21520530","0.26788271","0.74637041","0.30955938","0.40404410","0.28239107"
"58","D","1000","6","1","0.49555947","0.40525020","0.47893449","1.54072962","0.53260170","0.84350475","0.53244666"
"59","D","1000","6","2","0.92710544","0.81717526","0.90121088","1.75982665","0.99185890","1.73583835","1.00809269"
"60","D","1000","6","4","1.62329612","1.60686819","1.55758283","1.93362892","1.72684924","1.82727418","1.71981800"
"61","D","1000","12","0.5","0.35802007","0.26524260","0.33987507","0.75028279","0.37957919","0.54369659","0.35720726"
"62","D","1000","12","1","0.61520732","0.47145013","0.58212615","1.54039985","0.63354007","1.27291467","0.64708788"
"63","D","1000","12","2","1.11202958","0.92578231","1.03833274","1.78200227","1.15215596","1.76240804","1.15226767"
"64","D","1000","12","4","1.76291824","1.69754985","1.69386587","1.94306529","1.82817197","1.83434131","1.82515781"
